fund_code,fund_name,nav_date,unit_nav,accumulated_nav,daily_growth_rate_percent,source
110008,易方达稳健收益债券B,2018-10-30,1.2447,2.0543,0.13,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-10-31,1.2493,2.0589,0.37,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-01,1.2529,2.0625,0.29,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-02,1.2652,2.0748,0.98,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-05,1.2683,2.0779,0.25,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-06,1.266,2.0756,-0.18,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-07,1.264,2.0736,-0.16,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-08,1.2626,2.0722,-0.11,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-09,1.2613,2.0709,-0.1,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-12,1.266,2.0756,0.37,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-13,1.2694,2.079,0.27,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-14,1.2701,2.0797,0.06,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-15,1.276,2.0856,0.46,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-16,1.2801,2.0897,0.32,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-19,1.2827,2.0923,0.2,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-20,1.2747,2.0843,-0.62,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-21,1.2757,2.0853,0.08,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-22,1.2741,2.0837,-0.13,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-23,1.2681,2.0777,-0.47,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-26,1.2677,2.0773,-0.03,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-27,1.2687,2.0783,0.08,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-28,1.2749,2.0845,0.49,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-29,1.2722,2.0818,-0.21,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-11-30,1.2746,2.0842,0.19,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2018-12-03,1.2847,2.0943,0.79,东方财富基金历史净值接口
